COUNTY,Store #,BusinessName,CITY,Date Range,Calendar Date,Month,Year,Consumer Sales,Licensee Sales,Store Count,Total Sales
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,9/1/2017,9,2017,25262.6,7436,1,32698.6
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,12/1/2017,12,2017,31288.74,8475.4,1,39764.14
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,2/1/2018,2,2018,20816.8,9166.75,1,29983.55
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,5/1/2018,5,2018,26325.29,9254.6,1,35579.89
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,8/1/2018,8,2018,35957.25,8917.8,1,44875.05
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,11/1/2018,11,2018,28534.45,8883.95,1,37418.4
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,1/1/2019,1,2019,23813.28,9100.7,1,32913.98
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,4/1/2019,4,2019,26047.15,8795.95,1,34843.1
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,7/1/2019,7,2019,28208.8,7025.3,1,35234.1
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,10/1/2019,10,2019,29975.78,5503.85,1,35479.63
Linn,1009,Brownsville Video,BROWNSVILLE,TRUE,3/1/2020,3,2020,43621.8,2883.45,1,46505.25
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,7/1/2017,7,2017,45042.3,1472.1,1,46514.4
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,6/1/2018,6,2018,41783.35,1683.2,1,43466.55
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,5/1/2019,5,2019,58002.91,701.25,1,58704.16
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,4/1/2020,4,2020,58687.26,159.7,1,58846.96
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,3/1/2021,3,2021,56183.86,821.15,1,57005.01
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,2/1/2022,2,2022,48555.21,1153.7,1,49708.91
Marion,1007,Santiam Sports Center,MILL CITY,TRUE,1/1/2023,1,2023,46035.88,1819.75,1,47855.63
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,3/1/2017,3,2017,13845.1,5611.35,1,19456.45
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,6/1/2017,6,2017,13345.85,5278.2,1,18624.05
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,9/1/2017,9,2017,12072.75,4465.55,1,16538.3
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,12/1/2017,12,2017,19430.75,5482.05,1,24912.8
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,2/1/2018,2,2018,12092.2,5469.65,1,17561.85
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,5/1/2018,5,2018,14071.15,5636.3,1,19707.45
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,8/1/2018,8,2018,12731.4,6520.15,1,19251.55
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,11/1/2018,11,2018,17314.55,7947.95,1,25262.5
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,1/1/2019,1,2019,14236.25,6806.95,1,21043.2
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,4/1/2019,4,2019,13756.66,6174.65,1,19931.31
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,7/1/2019,7,2019,15542.15,5054.5,1,20596.65
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,10/1/2019,10,2019,18516.5,6909.5,1,25426
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,3/1/2020,3,2020,22243.77,3334.95,1,25578.72
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,6/1/2020,6,2020,20238.36,2751.2,1,22989.56
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,9/1/2020,9,2020,19982.42,4124.85,1,24107.27
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,2/1/2021,2,2021,19430.45,1268.85,1,20699.3
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,5/1/2021,5,2021,19271.66,6330.75,1,25602.41
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,8/1/2021,8,2021,20742.6,6459.25,1,27201.85
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,1/1/2022,1,2022,23404.9,6644,1,30048.9
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,4/1/2022,4,2022,26279.1,8602.7,1,34881.8
Malheur,1015,Nyssa Liquor Store,NYSSA,TRUE,7/1/2022,7,2022,23459.47,7455.95,1,30915.42
Marion,1008,Silverton Beverage,SILVERTON,TRUE,6/1/2017,6,2017,128590.26,28658.75,1,157249.01
Umatilla,1006,Athena Convenience,ATHENA,TRUE,3/1/2017,3,2017,12753.79,1605.45,1,14359.24
